Date,Country,Predicted_Vaccinations
2022-03-30,Montserrat,4336.822869300842
2022-03-31,Montserrat,4374.902850866318
2022-03-24,Morocco,54002133.719216354
2022-03-25,Morocco,54196161.246475466
2022-03-26,Morocco,54377505.166687734
2022-03-27,Morocco,54546714.6936071
2022-03-28,Morocco,54700539.7740779
2022-03-29,Morocco,54831485.25569344
2022-03-30,Morocco,54943447.32543755
2022-03-31,Morocco,55045232.787388094
2022-03-26,Mozambique,27748615.07289469
2022-03-27,Mozambique,28878793.8759731
2022-03-28,Mozambique,29924061.917240974
2022-03-29,Mozambique,31001912.939835187
2022-03-30,Mozambique,32160483.87655544
2022-03-31,Mozambique,33380848.72175121
2022-03-27,Myanmar,50291286.093191385
2022-03-28,Myanmar,50712950.28847432
2022-03-29,Myanmar,51159476.703960426
2022-03-30,Myanmar,51625556.617766626
2022-03-31,Myanmar,52076733.30901075
2022-03-26,Namibia,874841.3855252267
2022-03-27,Namibia,890395.1022219659
2022-03-28,Namibia,904590.1002345086
2022-03-29,Namibia,917411.9505157472
2022-03-30,Namibia,929784.1120805742
2022-03-31,Namibia,941864.1103191377
2022-03-22,Nauru,18801.22223854065
2022-03-23,Nauru,19891.15511226654
2022-03-24,Nauru,21059.84900379181
2022-03-25,Nauru,22282.745621681213
2022-03-26,Nauru,23410.89075565338
2022-03-27,Nauru,24490.051674842834
2022-03-28,Nauru,25335.223920822144
2022-03-29,Nauru,26207.21273803711
2022-03-30,Nauru,27102.79315853119
2022-03-31,Nauru,27995.521648406982
2022-03-30,Nepal,40452864.650276184
2022-03-31,Nepal,40544546.03156662
2022-03-29,New Caledonia,384067.5406073332
2022-03-30,New Caledonia,385203.5640089512
2022-03-31,New Caledonia,386690.1487635374
2022-03-25,Palestine,4050887.250654816
2022-03-26,Palestine,4171302.6026190515
2022-03-27,Palestine,4305250.048721552
2022-03-28,Palestine,4453071.563014507
2022-03-29,Palestine,4608593.953948736
2022-03-30,Palestine,4776006.188314676
2022-03-31,Palestine,4956288.965000033
2022-03-26,Panama,7655442.698944807
2022-03-27,Panama,7662402.384103894
2022-03-28,Panama,7661116.897059917
2022-03-29,Panama,7654461.892078042
2022-03-30,Panama,7645061.47420305
2022-03-31,Panama,7635021.6041042805
2022-03-29,Papua New Guinea,610683.3654828072
2022-03-30,Papua New Guinea,616485.5347251892
2022-03-31,Papua New Guinea,623155.1278924942
2022-03-26,Paraguay,8852987.067834139
2022-03-27,Paraguay,8953298.081745863
2022-03-28,Paraguay,9060462.137722969
2022-03-29,Paraguay,9174406.897541046
2022-03-30,Paraguay,9293718.751731396
2022-03-31,Paraguay,9417960.656854868
2022-03-27,Peru,65494520.49894678
2022-03-28,Peru,65583398.85676574
2022-03-29,Peru,65664560.383499615
2022-03-30,Peru,65737102.50295567
2022-03-31,Peru,65805112.20516681
2022-03-30,Philippines,142055556.5566349
2022-03-31,Philippines,143749460.66621304
2022-03-30,Poland,53941078.47484791
2022-03-31,Poland,53955305.9471153
2022-03-30,Qatar,6619499.717468619
2022-03-31,Qatar,6627292.606156468
2022-03-29,Romania,16699156.096541464
2022-03-30,Romania,16698815.935869932
2022-03-31,Romania,16697244.812533677
2022-03-30,Russia,164539851.7452761
2022-03-31,Russia,164730867.69036686
2022-03-22,Samoa,310976.08015704155
2022-03-23,Samoa,317979.06062173843
